,Date,oil,spy,vix,oil_ma_5,oil_ma_20,oil_lag_1,oil_lag_5,spy_ma_5,spy_ma_20,spy_lag_1,spy_lag_5,vix_ma_5,vix_ma_20,vix_lag_1,vix_lag_5,target
554,2017-06-09,45.83000183105469,2431.77001953125,10.699999809265137,46.556000518798825,48.65700016021729,45.63999938964844,47.65999984741211,2432.826025390625,2409.2030029296875,2433.7900390625,2439.070068359375,10.353999900817872,10.871500015258789,10.15999984741211,9.75,1
555,2017-06-12,46.08000183105469,2429.389892578125,11.460000038146973,46.29200057983398,48.569000244140625,45.83000183105469,47.400001525878906,2431.483984375,2411.1275024414062,2431.77001953125,2436.10009765625,10.631999969482422,10.924500036239625,10.699999809265137,10.06999969482422,1
556,2017-06-13,46.459999084472656,2440.35009765625,10.420000076293944,45.94600067138672,48.449500274658206,46.08000183105469,48.18999862670898,2433.68798828125,2413.02900390625,2429.389892578125,2429.330078125,10.626000022888183,10.924500036239625,11.460000038146973,10.449999809265137,0
557,2017-06-14,44.72999954223633,2437.919921875,10.640000343322754,45.74800033569336,48.253000259399414,46.459999084472656,45.720001220703125,2434.643994140625,2414.89150390625,2440.35009765625,2433.139892578125,10.676000022888184,10.924000072479249,10.420000076293944,10.390000343322754,0
558,2017-06-15,44.459999084472656,2432.4599609375,10.899999618530272,45.512000274658206,48.02250022888184,44.72999954223633,45.63999938964844,2434.377978515625,2418.6630004882813,2437.919921875,2433.7900390625,10.823999977111816,10.689500045776366,10.640000343322754,10.15999984741211,1
559,2017-06-16,44.7400016784668,2433.14990234375,10.380000114440918,45.294000244140626,47.79200038909912,44.459999084472656,45.83000183105469,2434.653955078125,2422.0344970703127,2432.4599609375,2431.77001953125,10.760000038146973,10.475500059127807,10.899999618530272,10.699999809265137,0
560,2017-06-19,44.20000076293945,2453.4599609375,10.369999885559082,44.918000030517575,47.48550033569336,44.7400016784668,46.08000183105469,2439.46796875,2425.62099609375,2433.14990234375,2429.389892578125,10.542000007629394,10.392000055313108,10.380000114440918,11.460000038146973,0
561,2017-06-20,43.22999954223633,2437.030029296875,10.859999656677246,44.27200012207031,47.11050033569336,44.20000076293945,46.459999084472656,2438.803955078125,2427.7714965820314,2453.4599609375,2440.35009765625,10.629999923706055,10.388500022888184,10.369999885559082,10.420000076293944,0
562,2017-06-21,42.52999877929688,2435.610107421875,10.75,43.831999969482425,46.663500213623045,43.22999954223633,44.72999954223633,2438.3419921875,2429.631005859375,2437.030029296875,2437.919921875,10.651999855041504,10.390000009536744,10.859999656677246,10.640000343322754,1
563,2017-06-22,42.7400016784668,2434.5,10.479999542236328,43.48800048828125,46.23250026702881,42.52999877929688,44.459999084472656,2438.75,2431.136511230469,2435.610107421875,2432.4599609375,10.567999839782715,10.412999963760376,10.75,10.899999618530272,1
564,2017-06-23,43.0099983215332,2438.300048828125,10.020000457763672,43.14199981689453,45.93800010681152,42.7400016784668,44.7400016784668,2439.780029296875,2432.2980102539063,2434.5,2433.14990234375,10.495999908447265,10.414499998092651,10.479999542236328,10.380000114440918,1
565,2017-06-26,43.380001068115234,2439.070068359375,9.899999618530272,42.97799987792969,45.61700019836426,43.0099983215332,44.20000076293945,2436.90205078125,2433.4605102539062,2438.300048828125,2453.4599609375,10.401999855041504,10.41899995803833,10.020000457763672,10.369999885559082,1
566,2017-06-27,44.2400016784668,2419.3798828125,11.0600004196167,43.18000030517578,45.346000289916994,43.380001068115234,43.22999954223633,2433.372021484375,2433.7840087890627,2439.070068359375,2437.030029296875,10.442000007629394,10.45299997329712,9.899999618530272,10.859999656677246,1
567,2017-06-28,44.7400016784668,2440.68994140625,10.029999732971191,43.62200088500977,45.16700038909912,44.2400016784668,42.52999877929688,2434.38798828125,2435.2285034179686,2419.3798828125,2435.610107421875,10.297999954223632,10.433999967575073,11.0600004196167,10.75,1
568,2017-06-29,44.93000030517578,2419.699951171875,11.4399995803833,44.060000610351565,44.99550037384033,44.7400016784668,42.7400016784668,2431.427978515625,2434.710498046875,2440.68994140625,2434.5,10.489999961853027,10.511499929428101,10.029999732971191,10.479999542236328,1
569,2017-06-30,46.040000915527344,2423.409912109375,11.18000030517578,44.66600112915039,44.9145004272461,44.93000030517578,43.0099983215332,2428.449951171875,2433.927490234375,2419.699951171875,2438.300048828125,10.721999931335448,10.58299994468689,11.4399995803833,10.020000457763672,1
570,2017-07-03,47.06999969482422,2429.010009765625,11.220000267028809,45.40400085449219,44.89800033569336,46.040000915527344,43.380001068115234,2426.437939453125,2433.5729858398436,2423.409912109375,2439.070068359375,10.986000061035156,10.640499973297118,11.18000030517578,9.899999618530272,0
571,2017-07-05,45.130001068115234,2432.5400390625,11.06999969482422,45.582000732421875,44.74500045776367,47.06999969482422,44.2400016784668,2429.069970703125,2433.7334838867187,2429.010009765625,2419.3798828125,10.98799991607666,10.671499967575071,11.220000267028809,11.0600004196167,1
572,2017-07-06,45.52000045776367,2409.75,12.539999961853027,45.73800048828125,44.735000419616696,45.130001068115234,44.7400016784668,2422.881982421875,2432.5639892578124,2432.5400390625,2440.68994140625,11.489999961853027,10.778999948501585,11.06999969482422,10.029999732971191,0
573,2017-07-07,44.22999954223633,2425.179931640625,11.1899995803833,45.59800033569336,44.6645004272461,45.52000045776367,44.93000030517578,2423.977978515625,2432.1334838867188,2409.75,2419.699951171875,11.439999961853028,10.830499935150145,12.539999961853027,11.4399995803833,1
574,2017-07-10,44.400001525878906,2427.429931640625,11.109999656677246,45.27000045776367,44.593000411987305,44.22999954223633,46.040000915527344,2424.781982421875,2431.9164794921876,2425.179931640625,2423.409912109375,11.42599983215332,10.85099992752075,11.1899995803833,11.18000030517578,1
575,2017-07-11,45.040000915527344,2425.530029296875,10.890000343322754,44.864000701904295,44.54100036621094,44.400001525878906,47.06999969482422,2424.085986328125,2431.723486328125,2427.429931640625,2429.010009765625,11.359999847412109,10.82249994277954,11.109999656677246,11.220000267028809,1
576,2017-07-12,45.4900016784668,2443.25,10.300000190734863,44.93600082397461,44.49250049591065,45.040000915527344,45.130001068115234,2426.227978515625,2431.8684814453127,2425.530029296875,2432.5400390625,11.205999946594238,10.816499948501587,10.890000343322754,11.06999969482422,1
577,2017-07-13,46.08000183105469,2447.830078125,9.899999618530272,45.04800109863281,44.560000610351565,45.4900016784668,45.52000045776367,2433.843994140625,2432.3639892578126,2443.25,2409.75,10.677999877929688,10.779499912261963,10.300000190734863,12.539999961853027,1
578,2017-07-14,46.540000915527344,2459.27001953125,9.510000228881836,45.51000137329102,44.6640007019043,46.08000183105469,44.22999954223633,2440.66201171875,2433.7044921875,2447.830078125,2425.179931640625,10.342000007629395,10.709999942779541,9.899999618530272,11.1899995803833,0
579,2017-07-17,46.02000045776367,2459.139892578125,9.81999969482422,45.83400115966797,44.72800064086914,46.540000915527344,44.400001525878906,2447.00400390625,2435.0039916992187,2459.27001953125,2427.429931640625,10.08400001525879,10.681999921798706,9.510000228881836,11.109999656677246,1
580,2017-07-18,46.400001525878906,2460.610107421875,9.890000343322754,46.10600128173828,44.83800067901611,46.02000045776367,45.040000915527344,2454.02001953125,2435.3614990234373,2459.139892578125,2425.530029296875,9.884000015258788,10.657999944686889,9.81999969482422,10.890000343322754,1
581,2017-07-19,47.119998931884766,2473.830078125,9.789999961853027,46.432000732421876,45.032500648498534,46.400001525878906,45.4900016784668,2460.13603515625,2437.2015014648437,2460.610107421875,2443.25,9.781999969482422,10.604499959945679,9.890000343322754,10.300000190734863,0
582,2017-07-20,46.790000915527344,2473.449951171875,9.579999923706056,46.57400054931641,45.24550075531006,47.119998931884766,46.08000183105469,2465.260009765625,2439.0934936523436,2473.830078125,2447.830078125,9.71800003051758,10.54599995613098,9.789999961853027,9.899999618530272,0
583,2017-07-21,45.77000045776367,2472.5400390625,9.359999656677246,46.42000045776367,45.3970006942749,46.790000915527344,46.540000915527344,2467.914013671875,2440.995495605469,2473.449951171875,2459.27001953125,9.687999916076661,10.489999961853027,9.579999923706056,9.510000228881836,1
584,2017-07-24,46.34000015258789,2469.909912109375,9.43000030517578,46.48400039672852,45.563500785827635,45.77000045776367,46.02000045776367,2470.068017578125,2442.5759887695312,2472.5400390625,2459.139892578125,9.610000038146973,10.460499954223632,9.359999656677246,9.81999969482422,1
585,2017-07-25,47.88999938964844,2477.1298828125,9.43000030517578,46.78199996948242,45.7890007019043,46.34000015258789,46.400001525878906,2473.37197265625,2444.4789794921876,2469.909912109375,2460.610107421875,9.518000030517577,10.436999988555907,9.43000030517578,9.890000343322754,1
586,2017-07-26,48.75,2477.830078125,9.600000381469728,47.10800018310547,46.01450061798096,47.88999938964844,47.119998931884766,2474.17197265625,2447.4014892578125,2477.1298828125,2473.830078125,9.480000114440918,10.36399998664856,9.43000030517578,9.789999961853027,1
587,2017-07-27,49.040000915527344,2475.419921875,10.109999656677246,47.55800018310547,46.22950057983398,48.75,46.790000915527344,2474.565966796875,2449.13798828125,2477.830078125,2473.449951171875,9.586000061035156,10.367999982833862,9.600000381469728,9.579999923706056,1
588,2017-07-28,49.709999084472656,2472.10009765625,10.289999961853027,48.34599990844727,46.46850051879883,49.040000915527344,45.77000045776367,2474.477978515625,2451.7579956054688,2475.419921875,2472.5400390625,9.772000122070313,10.310500001907348,10.109999656677246,9.359999656677246,1
589,2017-07-31,50.16999816894531,2470.300048828125,10.260000228881836,49.11199951171875,46.67500038146973,49.709999084472656,46.34000015258789,2474.556005859375,2454.102502441406,2472.10009765625,2469.909912109375,9.938000106811524,10.264499998092651,10.289999961853027,9.43000030517578,0
590,2017-08-01,49.15999984741211,2476.35009765625,10.09000015258789,49.36599960327148,46.77950038909912,50.16999816894531,47.88999938964844,2474.400048828125,2456.4695068359374,2470.300048828125,2477.1298828125,10.070000076293946,10.207999992370606,10.260000228881836,9.43000030517578,1
591,2017-08-02,49.59000015258789,2477.570068359375,10.279999732971191,49.533999633789065,47.00250034332275,49.15999984741211,48.75,2474.348046875,2458.7210083007812,2476.35009765625,2477.830078125,10.205999946594238,10.168499994277955,10.09000015258789,9.600000381469728,0
592,2017-08-03,49.02999877929688,2472.159912109375,10.4399995803833,49.53199920654297,47.17800025939941,49.59000015258789,49.040000915527344,2473.696044921875,2461.84150390625,2477.570068359375,2475.419921875,10.271999931335449,10.063499975204468,10.279999732971191,10.109999656677246,1
593,2017-08-04,49.58000183105469,2476.830078125,10.029999732971191,49.50599975585938,47.44550037384033,49.02999877929688,49.709999084472656,2474.642041015625,2464.4240112304688,2472.159912109375,2472.10009765625,10.219999885559082,10.005499982833863,10.4399995803833,10.289999961853027,0
